L7	IL7	IL41	IL46	IL59	IL65	IL68	IL77	IL139	IL148	IL157	IL159	IL167	IL170	IL174	IL181	IL184	IL185	IL186	IL10	IL24	IL42	IL48	IL54	IL62	IL70	IL72	IL81	IL84	IL85	IL92	IL94	IL96	IL98	IL111	IL112	IL114	IL143	IL144	IL146	IL151	IL162	IL187	IL188	IL5	IL6	IL30	IL36	IL39	IL51	IL53	IL69	IL82	IL93	IL103	IL105	IL122	IL126	IL128	IL129	IL134	IL149	IL154	IL164	IL168	IL177	IL178	IL179	IL180	IL189	IL15	IL21	IL28	IL33	IL50	IL56	IL74	IL88	IL107	IL117	IL131	IL132	IL135	IL137	IL138	IL150	IL152	IL155	IL161	IL173	IL3	IL16	IL19	IL26	IL31	IL32	IL55	IL60	IL64	IL66	IL67	IL76	IL83	IL87	IL95	IL99	IL110	IL119	IL136	IL141	IL166	IL175	IL176	IL182	IL8	IL13	IL20	IL27	IL34	IL47	IL57	IL58	IL61	IL71	IL86	IL100	IL106	IL108	IL109	IL113	IL115	IL118	IL120	IL125	IL130	IL133	IL142	IL158	IL165	IL172	IL11	IL12	IL22	IL29	IL45	IL52	IL80	IL89	IL101	IL123	IL147	IL153	IL156	IL160	IL163	IL171	IL183	IL190	IL2	IL9	IL14	IL17	IL18	IL23	IL35	IL37	IL38	IL40	IL43	IL44	IL63	IL75	IL78	IL79	IL90	IL91	IL102	IL104	IL116	IL124	IL127	IL140	IL4	IL49	IL73	IL97	IL121	IL145	IL169
-1	135.833	217.061	5.20702	13.0789	80.1402	34.1102	57.8171	171.569	46.479	17.7838	139.858	129.74	129.416	47.8965	55.0508	101.457	147.922	16.9683	14.7065	16.5706	13.1989	116.954	67.9332	89.6618	38.121	91.5303	127.935	116.51	150.41	32.269	23.8668	63.7458	191.974	140.269	26.2293	112.203	25.7994	137.004	129.987	57.651	15.178	10.9965	138.211	41.8784	588.186	107.479	2.78951	38.8408	38.7478	341.92	115.58	73.8514	31.9656	155.87	65.7273	25.1025	124.61	17.2062	5.02056	260.492	107.756	87.0663	127.136	120.461	73.3563	97.0097	58.2296	88.2561	79.8106	150.33	137.154	202.113	75.4435	12.2044	164.023	4.54557	153.596	174.707	6.8608	151.32	148.088	7.81529	91.5675	277.411	201.578	116.823	84.8124	4.02075	116.542	40.1978	139.637	71.768	209.636	48.6855	26.2933	25.4252	97.5619	58.314	75.8601	11.6263	24.5783	36.5899	43.7443	84.554	58.2431	5.28248	31.5102	39.119	101.726	11.8734	5.43591	47.218	113.359	62.6311	78.3015	49.0328	15.5921	140.159	90.3264	67.9268	82.9421	138.951	112.058	53.4071	61.6745	46.9159	59.7562	58.1066	61.2951	46.5231	94.3275	65.177	30.7403	55.6497	7.63426	65.5043	58.235	16.5082	12.4167	142.547	179.064	17.0465	87.4804	129.224	74.8368	155.601	100.255	164.125	79.923	128.139	72.4433	121.966	181.072	104.489	165.39	191.451	44.1432	34.6628	61.0338	52.2928	120.334	131.868	257.471	1.79819	60.4415	17.0789	106.894	99.0623	115.605	26.2591	37.7733	81.8508	76.715	18.5216	99.0345	108.318	9.86903	40.2721	59.7294	347.03	7.41776	0	0	0	0	0	5.05833	0
Bacillus subtilis	170.26	170.26	0	0	0	7.49711	7.55481	7.72356	7.878	0	56.0517	7.65879	0	0	0	7.39305	0	8.21308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ligilactobacillus salivarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337.368	7.51636	6.87474	8.62788	3666.17	7.34518	0	26.5078	6.931	7.26505	8.0334	7.55673	7.44072	1482.7	231.359	7.31639	7.44162	62.5666	8.46832	7.07696	7.55768	7.14371	8.33235	7.22598	0	0	0	0	0	0	0
Centipeda sp015265235	3.55889	3.55889	0	0	3.58652	0	0	4.47455	0	0	3.94405	2.66833	8.88444	0	2.572	0	0	6.21857	0	0	0	0	0	0	0	0	2.49722	6.47581	2.72733	0	2.11455	0	0	0	0	0	0	2.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0525	0	0	0	0	0	4.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.60333	6.6626	5.743	7.06351	0	31.3833	7.51647	16.9186	6.37103	0	6.756	13.55	5.75978	6.6945	0	10.802	0	46.9957	7.33328	6.47351	0	0	8.23213	7.72506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sutterella wadsworthensis_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.34293	0	2020.79	214.333	0	8.14116	8.01902	150.829	0	336.815	2463.68	0	1967.37	8.41304	0	0	0	0	7.188	7.40792	7.6576	0	0	0	12.8858	7.56844	6.93571	0	8.27065	7.27061	8.08516	7.82371	157.84	0	0	0	0	7.881	7.62802	9.03414	7.71897	0	7.22181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnoanaerobaculum sp000287675	26.0658	31.4281	0	10.8245	75.8738	25.0825	15.2544	155.253	13.9891	8.1555	44.486	90.1462	43.2227	14.5395	23.7003	52.5711	65.3405	13.3473	7.40899	10.7301	0	29.2713	97.5921	57.102	13.0501	115.614	81.0046	92.7129	80.918	12.5462	12.9564	35.8938	0	187.173	10.7089	189.374	8.11855	218.275	144.044	16.8182	7.65386	7.677	9.15908	23.3231	2.35267	11.5517	0	5.37698	6.43421	4.7713	53.7019	91.784	15.1197	12.5374	14.5529	43.0571	192.225	0	0	4.11781	78.1572	56.2348	82.0351	24.7381	197.224	43.0776	34.1849	22.1297	90.9573	18.6725	77.4662	15.2056	6.58333	0	10.0257	0	33.3899	0	0	0	9.0355	0	9.18857	6.66484	8.83571	7.68943	8.73333	0	28.3588	46.1671	224.915	112.223	9.38785	46.4704	13.5097	34.4308	174.777	37.9232	97.4606	10.897	45.9939	58.2017	74.9432	66.3945	72.8236	0	67.1001	47.5247	196.741	10.0773	6.05625	67.2469	163.029	29.455	103.35	7.69172	20.6115	5.58346	103.276	45.7669	137.185	40.613	5.18429	54.9088	80.123	55.6947	115.049	76.3829	70.1667	4.734	97.5035	75.7822	18.2664	41.346	3.32385	75.5405	36.544	10.1409	8.41784	18.1309	13.3216	0	47.9967	31.7322	8.91429	79.5076	35.5719	107.407	17.9991	85.696	19.9731	22.4294	22.6632	32.4982	85.2521	44.1758	12.5817	9.45143	87.0539	87.7516	283.199	8.39526	7.2676	0	62.3977	12.2372	147.863	20.5235	345.179	20.2115	17.6279	295.51	229.173	18.604	238.675	61.7872	7.48525	17.7437	71.2948	6.76489	7.22789	0	0	0	0	0	0	0
Clostridium saudiense	5.97682	8.39472	0	6.22	7.30256	31.4702	0	0	0	4.76455	5.42191	4.99812	0	0	0	0	8.00038	5.37727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.2158	0	0	0	14.5858	0	0	0	0	0	0	0	29.598	0	0	0	0	0	0	24.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75365	1536.58	19.03	0	47.4749	0	0	276.24	0	11.41	49.4432	10.7337	0	7.59652	8.3245	267.008	8.62103	9.11855	7.75356	0	0	0	0	0	0	0	0	0
Pseudomonas_E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.20409	0	0	0	0	3.78667	0	0	2.31778	0	5.31602	2.39038	1.95556	0	2.94563	0	2.91591	42.5418	1.7625	0	0	0	2.12647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.65357	0	0	0	0	0	0	0	0	0
Prevotella aurantiaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7669	0	0	0	0	2.80143	0	0	0	0	2.16429	0	2.79571	0	1.77273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus_A raffinolactis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20667	0	0	0	6.92889	2.42364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.45467	0	0	0	0	5.217	0	0	0	0	7.18143	7.43977	5.81742	4.99737	22.6104	0	6.30472	6.49925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.39091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.58	0	0	0	0	0	0	0	0	0
Pauljensenia cardiffensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.10333	0	7.7159	9.19838	10.0517	7.02644	7.97899	8.33533	12.7711	10.6643	7.48424	7.0255	13.8593	0	9.94785	7.38041	8.74654	6.5475	9.90225	10.1474	8.97975	5.09857	0	8.36705	5.0851	0	4.69244	0	4.69538	0	3.08	7.64746	6.24137	5.83291	6.36932	5.47053	6.75861	14.4132	0	0	2.83222	5.90933	8.8184	6.73392	7.35821	6.9674	6.53231	5.20475	3.65968	7.45648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.21837	8.65314	8.3541	11.4302	7.66437	6.13696	0	10.4831	8.50038	9.53483	12.8766	9.19723	8.8942	9.67071	13.2948	8.6057	7.58079	10.2646	16.2711	8.0736	8.36595	9.16103	6.41429	0	0	0	0	0	0	0	0
Nanoperiomorbus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.05353	0	5.86609	0	0	0	0	7.03156	8.12939	4.35286	4.44421	4.29333	5.834	5.974	0	0	0	8.09821	8.40968	6.972	5.3971	7.77344	5.712	6.02077	4.29167	11.2358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.91118	0	0	7.37286	0	0	10.2528	9.36444	5.39636	0	0	0	0	6.37529	9.06167	0	13.0011	11.2656	5.77769	0	0	0	5.27385	11.7256	46.5056	9.35778	8.86071	0	13.8025	19.695	36.1294	14.1506	9.75545	11.2456	13.1031	29.185	74.9956	63.0094	39.0369	0	8.58563	13.9137	10.2944	14.3425	0	23.9387	9.14875	8.86571	9.42818	10.69	9.11063	0	19.4644	21.1606	8.87667	32.7387	11.26	46.5594	9.49375	52.305	10.2338	11.9475	10.2175	10.5162	41.7831	9.91	9.58688	0	2.50133	3.22133	3.6744	0	0	0	3.37526	0	5.29577	1.90889	4.11667	0	3.477	4.38722	4.28667	0	3.81421	4.117	0	0	11.2321	0	0	0	0	0	0	0	0	0
Leptotrichia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57533	0	3.93455	0	0	0	0	8.85938	18.9484	0	0	0	10.2644	0	0	0	0	9.47421	5.23714	3.97533	3.101	16.1133	7.41095	0	0	3.04364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43818	18.4869	0	6.87083	0	0	0	0	0	0	0	0	9.22455	0	0	0	7.85083	0	6.78222	0	0	0	0	10.3414	41.2523	5.90489	13.5523	0	49.7641	103.008	28.438	70.5005	0	14.7441	19.0996	29.9353	31.7202	72.5823	41.9366	0	1527.72	17.1413	8.23232	10.7805	0	13.0958	9.79924	8.18247	6.9102	3.62833	0	0	4.05842	7.64389	0	5.716	3.58158	7.53889	3.89294	7.12563	3.35556	0	0	4.23214	8.16842	0	3.69158	0	13.3971	0	42.7294	0	0	0	0	0	25.2905	0	8.47083	0	0	12.9879	8.89833	0	21.337	4.161	0	0	43.522	0	0	0	0	0	0	0	0	0
Blautia_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.21964	3.314	3.47222	0	52.9712	0	0	4.02857	0	0	0	4.13211	22.3823	0	0	0	0	0	1.94706	0	7.45684	0	4.6088	3.43778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.9905	5.69833	0	0	0	5.58027	0	56.4141	21.0576	0	27.8896	0	0	0	0	0	5.48895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.20571	0	11.2093	1048.07	23.9023	0	11.048	117.624	0	12.1856	9.73548	0	10.7062	0	10.8596	375.325	11.3036	11.11	0	0	0	11.2072	355.781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.5472	5.24211	0	13.874	0	0	6.69	0	6.81487	0	0	0	4.06333	0	32.7498	5.63222	0	0	0	0	0	0	0	0	0	0	0
Parasutterella excrementihominis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.10333	130.398	6.98794	0	0	7.88	0	7.45746	0	0	0	0	0	35.0675	0	0	0	0	0	0	51.9178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.4184	0	0	3.253	0	0	4.41893	0	0	2.814	0	0	0	0	10.7458	0	0	0	0	0	0	0	0	0	0	0	0
Blautia_A sp000436615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.4326	14.9967	7.69744	0	316.034	6.47	10.5004	7.72485	0	7.79571	0	7.5817	225.517	7.93563	9.2425	0	7.31333	0	7.54029	0	66.8358	0	11.9908	8.2429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.6445	5.12444	0	0	0	3.86	0	66.1185	31.226	0	38.8865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.1961	2.07933	0	0	18.9412	0	0	0	0	0	0	0	5.4725	0	0	0	0	0	0	4.85615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28385	4.01357	0	5.11111	0	0	2.37857	0	14.8059	0	0	0	0	0	16.507	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus_A plantarum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.51809	0	0	0	0	0	8.24605	0	0	0	0	0	0	0	6.19444	64.2323	0	8.10545	0	100.199	34.4101	6.48325	6.63951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.22061	0	0	0	0	8.00477	0	0	0	0	52.9397	9.83258	8.2767	12.4442	259.682	0	33.276	9.04674	10.1637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.42353	5.09188	5.74448	0	0	0	0	0	6.02417	0	6.45641	0	0	0	6.49588	0	4.7192	0	0	0	193.817	7.54087	0	0	0	0	0	0	0	0
Lancefieldella sp000411555	7.316	8.23137	0	7.21964	8.24153	6.76463	11.2943	19.2586	9.53621	6.74511	8.11889	12.5944	8.49372	7.5179	7.27778	16.1124	10.095	6.82933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus lactolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.17048	0	0	2.61846	4.57453	0	2.80742	2.10846	3.44	1.80812	2.33556	2.20083	2.93846	3.056	2.4775	2.80422	3.49667	1.99714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rahnella sp001422575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.32033	0	0	0	4.14375	0	2.73889	87.6461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dialister invisus	3.85784	3.8475	0	3.49556	3.25222	3.45227	5.38475	2.88861	3.37889	0	3.96576	4.82429	4.88222	3.22355	2.82269	4.68385	2.286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.52	0	0	0	0	3.497	3.24452	2.215	3.1072	0	3.58579	2.32947	0	0	0	4.21814	2.99444	3.51795	2.65187	6.39833	3.27311	2.28652	0	4.21087	4.18526	2.66692	0	0	0	1.93667	0	5.372	0	0	0	0	0	0	0	0	0	0	0	1.98385	1.59278	5.88857	3.4075	0	3.03727	2.18643	2.03	3.91025	2.89812	2.63182	0	2.845	2.89789	2.95476	3.88129	3.98138	0	3.21793	2.89545	3.82367	0	0	3.55588	3.59529	6.93517	8.38728	6.5327	6.87614	6.37533	18.2821	9.14543	19.5241	6.99224	0	7.7123	16.5661	8.66728	12.3603	10.576	19.0865	0	9.87587	22.4708	7.00047	7.44685	9.442	8.88767	8.15941	7.72972	7.1805	2.76467	0	0	2.21125	3.2631	0	3.24649	3.3336	3.67971	0	4.10535	2.90773	2.705	0	2.901	3.15659	0	2.34	0	0	2.28308	2.10875	0	0	0	2.13231	0	2.62217	0	4.44364	0	0	3.06278	3.26244	0	3.74343	2.36947	0	0	10.0715	0	0	0	0	0	0	0	0	0
Streptococcus	62.8779	219.087	0	18.3021	181.821	48.0819	120.019	376.68	102.114	24.0507	186.923	222.122	322.163	117.251	149.44	379.98	433.548	15.5565	9.43901	19.6958	3.79226	95.0505	184.969	230.892	60.2825	260.217	166.675	243.211	263.927	30.761	42.6571	222.486	227.804	373.841	39.4407	189.478	55.6464	268.201	313.198	160.43	18.3405	4.23479	74.2399	26.4117	5.34408	39.5705	0	7.12413	9.3872	9.176	87.3415	48.6582	25.975	22.1661	14.1946	34.8773	181.277	4.26927	1.86889	11.8885	73.0902	78.0271	117.431	55.31	175.496	45.9277	47.4075	32.6875	125.2	107.958	201.02	310.082	35.2646	8.19961	61.9237	3.07967	199.873	135.698	5.67823	36.7243	65.2865	5.37776	39.7341	17.1649	33.457	110.818	52.8217	2.15757	148.01	45.8759	381.335	146.643	43.7344	105.877	53.0595	25.3062	260.039	46.5042	99.47	7.75918	36.4372	43.1143	63.9225	73.9324	56.9131	2.67358	41.6421	29.8253	162.057	19.5279	6.24558	110.977	235.177	64.3717	149.746	12.4362	10.3093	11.9771	102.731	109.174	105.05	131.509	13.0287	62.1534	79.1839	73.0622	105.175	79.5478	93.7316	5.85825	67.3621	118.971	26.6269	83.4366	3.38388	57.7098	38.3713	28.0953	17.524	119.964	67.9272	5.16719	170.137	237.15	15.3145	220.578	213.142	351.759	94.2398	164.604	119.116	176.387	174.746	228.342	169.691	220.692	71.5547	18.3462	117.014	112.905	241.056	33.3208	17.0379	0	142.025	29.6027	230.851	115.755	226.352	75.7996	44.7167	165.181	127.476	38.7755	193.163	197.916	10.4091	31.2638	90.4201	92.8853	10.6757	0	0	0	0	0	0	0
Ruminococcus_B gnavus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.204	8.17943	0	0	7.78027	303.337	0	341.129	48.5475	0	51.6562	8.02585	0	0	0	0	7.5842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.55615	588.498	8.5072	0	6.55778	29.3142	0	8.02125	7.22815	6.13926	6.66969	7.38543	7.3472	119.491	7.00595	8.00455	0	0	0	6.39743	277.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Roseburia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33773	4.29105	0	0	33.2926	0	0	0	0	0	0	0	9.93423	0	0	0	0	0	0	0	5.43316	0	3.09182	2.41364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142.202	5.797	0	0	0	6.765	0	152.91	32.797	0	112.544	0	0	0	0	0	5.23667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569	0	0	134.295	0	0	0	82.5508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella denticariosi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.2771	46.4266	0	16.9983	21.3993	6.61333	33.5597	42.9331	44.5445	37.7021	36.2679	20.5983	14.4563	21.4873	35.8031	29.8997	36.9914	16.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
