L7	IL7	IL41	IL46	IL59	IL65	IL68	IL77	IL139	IL148	IL157	IL159	IL167	IL170	IL174	IL181	IL184	IL185	IL186	IL10	IL24	IL42	IL48	IL54	IL62	IL70	IL72	IL81	IL84	IL85	IL92	IL94	IL96	IL98	IL111	IL112	IL114	IL143	IL144	IL146	IL151	IL162	IL187	IL188	IL5	IL6	IL30	IL36	IL39	IL51	IL53	IL69	IL82	IL93	IL103	IL105	IL122	IL126	IL128	IL129	IL134	IL149	IL154	IL164	IL168	IL177	IL178	IL179	IL180	IL189	IL15	IL21	IL28	IL33	IL50	IL56	IL74	IL88	IL107	IL117	IL131	IL132	IL135	IL137	IL138	IL150	IL152	IL155	IL161	IL173	IL3	IL16	IL19	IL26	IL31	IL32	IL55	IL60	IL64	IL66	IL67	IL76	IL83	IL87	IL95	IL99	IL110	IL119	IL136	IL141	IL166	IL175	IL176	IL182	IL8	IL13	IL20	IL27	IL34	IL47	IL57	IL58	IL61	IL71	IL86	IL100	IL106	IL108	IL109	IL113	IL115	IL118	IL120	IL125	IL130	IL133	IL142	IL158	IL165	IL172	IL11	IL12	IL22	IL29	IL45	IL52	IL80	IL89	IL101	IL123	IL147	IL153	IL156	IL160	IL163	IL171	IL183	IL190	IL2	IL9	IL14	IL17	IL18	IL23	IL35	IL37	IL38	IL40	IL43	IL44	IL63	IL75	IL78	IL79	IL90	IL91	IL102	IL104	IL116	IL124	IL127	IL140	IL4	IL49	IL73	IL97	IL121	IL145	IL169
Selenomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.88167	0	0	0	33.7647	0	7.17182	0	0	0	3.99294	0	4.19625	0	3.14158	0	4.69895	3.765	3.34267	0	0	4.87308	5.02765	0	0	0	0	0	0	2.14444	0	0	0	0	3.37857	0	0	0	0	0	4.81688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus sp000314795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.9683	4.19917	106.182	0	13.7612	13.0512	9.57786	147.345	168.869	34.7889	33.0767	24.0653	64.6012	145.983	0	0	8.838	127.409	214.61	317.99	126.217	268.299	73.9261	148.062	114.279	590.985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82.0068	347.833	106.183	57.0474	63.9437	19.8087	186.858	198.436	62.9842	445.923	11.3353	57.3826	65.9905	46.0011	48.4005	71.0126	0	45.6984	40.2753	113.601	10.3637	0	72.1095	164.512	15.215	0	0	0	0	0	21.089	0	11.607	0	20.1009	19.12	15.6767	0	0	18.9245	0	0	25.741	76.7969	16.565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UMGS1375 sp900066615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.9832	8.58577	7.63404	0	60.827	0	0	6.83525	0	0	0	7.64951	57.0776	0	0	0	0	0	7.83255	0	9.95013	0	8.52897	7.58957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.5404	8.16206	0	0	5.41462	8.2174	0	228.066	13.6187	0	72.5897	10.043	0	0	0	0	7.69841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.451	5.56245	0	11.5349	0	0	6.40062	0	6.92234	0	0	0	3.95478	0	28.6025	0	0	0	0	0	0	0	0	0	0	0	0
Cardiobacterium	5.19957	5.19957	0	0	4.7048	0	0	2.64818	0	0	4.71167	2.33111	3.08143	2.81333	0	0	0	0	0	0	0	0	0	0	0	0	7.25	8.03333	3.17556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.22417	0	0	4.60778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.77923	0	0	0	6.58458	0	4.04682	0	0	0	4.35333	0	2.59111	0	0	0	4.41444	6.81909	0	0	0	3.084	3.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus gordonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.8362	21.0122	11.749	9.82556	0	0	70.3715	0	0	0	30.289	38.18	37.6215	0	80.2192	25.283	0	0	37.0977	13.9073	224.573	15.2722	0	0	0	0	0	0	0	0	0	0	0	0	8.154	0	0	0	0	0	58.679	67.934	16.17	46.851	13.9678	9.76333	184.623	25.183	0	0	0	0	21.771	53.665	17.75	0	33.7378	17.8389	65.8	0	0	53.211	115.849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.8144	16.5633	0	167.477	72.8788	8.1675	192.501	144.114	306.561	59.9581	163.671	38.3813	67.378	57.9325	131.732	174.634	69.8831	27.2444	10.1375	129.067	59.825	167.487	7.202	0	0	56.9383	7.107	216.31	67.4918	130.666	23.285	16.2467	50.8575	66.0875	38.689	172.246	116.898	0	9.9	14.9017	0	0	0	0	0	0	0	0	0
Olsenella_F profusa_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.64714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.32182	3.20333	0	0	0	3.28441	0	3.72885	4.0465	0	0	2.524	1.62733	2.83081	2.86645	2.81478	0	2.862	2.35636	1.00111	2.809	0	3.19917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus_D pittmaniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.81778	15.758	0	24.771	16.8003	102.01	9.14338	8.1812	266.48	53.4147	186.416	46.8907	15.6097	143.283	381.617	7.70917	35.8609	7.93182	14.1136	181.808	34.7736	141.827	9.65952	0	215.389	199.855	111.045	457.327	0	82.035	37.4326	14.1696	405.082	345.147	67.4917	71.5627	197.641	60.7046	207.193	26.9161	0	284.525	9.15913	80.6303	261.475	18.439	53.8707	10.6756	121.51	136.102	108.068	74.3592	1215.35	160.706	24.8412	0	97.1876	0	11.8725	191.91	0	28.5548	31.779	11.9792	89.1482	12.4529	28.162	41.0023	130.491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442.187	87.4178	483.571	0	189.899	179.364	0	311.635	39.518	644.449	42.765	323.908	0	44.943	0	0	71.2523	74.791	112.038	151.258	79.2507	0	248.852	151.809	0	0	462.069	687.008	0	281.646	198.63	102.727	578.906	106.26	1303.64	273.509	353.079	120.166	978.433	5177.49	115.768	688.557	2465.14	57.2979	172.215	9.03575	23.4388	12.2629	24.0222	751.869	0	56.9456	20.0315	9.38424	9.8051	25.0576	12.642	26.2556	7.578	23.3015	8.64094	10.2792	169.319	10.0204	79.8763	12.045	356.303	0	0	0	0	0	0	0	0
Arachnia propionica	0	0	0	0	7.44714	0	6.86154	7.95077	6.76333	0	7.15222	5.65286	16.194	9.18714	11.0114	11.2847	7.33111	0	0	0	0	5.454	8.018	7.56632	0	6.04312	5.23923	8.82625	16.3942	5.31857	0	6.14	0	13.5667	0	6.61667	0	9.46125	12.9644	5.83	0	0	5.234	0	0	3.90455	0	0	0	0	4.79333	5.842	0	0	0	0	0	0	0	0	9.291	4.98	11.9064	0	11.2408	5.206	5.435	7.75333	18.8808	4.14667	24.8721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.594	13.1387	11.5786	2.67556	4.55818	0	4.66769	7.85214	9.89067	8.7	0	6.24	0	6.36	5.91636	7.34357	0	10.2887	7.432	20.7353	2.20889	0	10.1671	17.3207	10.8607	33.5037	0	5.25273	0	27.794	17.5233	35.7881	10.5864	3.46182	11.2173	24.0613	13.5394	27.0419	28.1381	48.9706	0	13.5807	39.5287	9.37	13.1886	0	45.0719	16.52	7.65667	4.74	6	2.36889	0	26.6075	7.336	0	13.0382	6.32176	39.4929	6.05933	41.4994	6.53	8.93353	4.935	7.57643	20.5228	5.12643	5.65	0	6.531	7.58667	4.81364	0	0	0	4.85	0	7.217	0	9.39333	0	0	0	4.42167	0	5.56	5.08909	0	0	20.7292	0	0	0	0	0	0	0	0	0
Parvimonas sp015257355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.319	7.68708	0	11.7599	30.6739	72.2508	10.1379	32.8286	14.4773	49.8434	76.1823	9.58288	8.33397	17.0401	0	51.7145	8.69408	31.2889	8.76639	27.6928	81.8758	8.74647	7.63343	6.90133	9.225	23.9278	8.26692	14.9009	0	8.0862	9.02147	6.97281	54.8862	51.3239	10.8697	13.8497	11.2562	65.6123	290.557	7.43606	0	7.44863	54.5754	114.423	29.5496	56.9215	61.1724	44.5953	22.1943	10.4907	40.0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.6031	1331.97	110.188	7.73471	13.5574	14.4273	27.6445	17.313	34.4158	62.4297	9.30581	72.3547	92.0751	62.1949	8.34797	38.1914	0	32.7815	29.1176	59.6132	9.08425	7.95338	31.2796	78.8089	483.736	266.867	39.2192	37.0623	11.8961	95.5176	617.027	91.6038	111.918	22.3855	410.529	165.189	821.697	105.835	311.881	538	7.92746	174.026	173.61	23.0274	474.021	7.70776	46.327	138.637	62.8645	68.9232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.34343	102.589	83.6477	571.252	13.4477	7.55459	0	79.5616	19.1472	385.899	34.6353	217.405	28.6489	52.8076	543.46	47.9516	19.5003	422.404	41.9511	7.91767	18.3162	519.04	7.01849	7.83453	0	0	0	0	0	0	0
Eubacterium_F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.21909	2.08	0	0	8.58	0	0	0	0	0	0	0	5.20136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peptostreptococcus sp000758885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.61703	7.59212	0	12.2913	23.2205	4.277	15.8553	8.32583	21.8395	8.76639	20.2853	9.51789	11.8108	15.4008	8.50829	19.8987	15.1603	9.11371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
