"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0835884798,0.0779233088,0.149786627,0.1546283757,0.2903530916,0.1754565777,0.2036240144,1.007557114,0.0898380707
"15",0.34601227,0.2522332117,0.3148522218,,,,,,
"30",0.2656916,0.24783474,0.1646465177,0.793532434,0.7068063326,0.4416102027,,,
"60",0.27805358,0.2243428894,0.2202153,1.5329406382,0.5838489861,0.3389040982,0.3516958092,0.4341242967,0.2859754738
"120",0.43458854,0.26476921,0.1431260325,0.4193109743,1.0845333218,0.3720308406,0.1520993927,1.4552096585,0.5876890481
"135",0.3342930317,0.2330965967,0.145059556,,,,,,
"150",0.2921444611,0.2346056862,0.1294106049,0.7667287452,1.277425747,0.5746620554,,,
"165",0.2276895308,0.1704757729,0.0853530118,,,,,,
"180",0.2700935395,0.1009325011,0.0326090734,0.9521601183,1.2405469279,0.9059248434,,,
"240",,,,,,,0.0831642963,0.8284515119,0.6089156303
"300",,,,,,,0.1339471104,0.7678025404,0.4193283945
"360",,,,,,,0.1548651954,0.6131684572,0.6309958255
"480",,,,,,,0.1211371698,0.7913743141,0.4832189226
