"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0903534498,0.013668832,0.0389797393,0.1263164368,0.0614900856,0.1269882201,1.0811796769,1.0002839139,1.2728414542
"15",0.0079057172,0.0154900994,0.0097414275,,,,,,
"30",0.0054015913,0.0062795942,0.0058764567,0.0650358963,0.0578440792,0.0539164665,,,
"60",0.0112945946,0.0037556239,0.0026266827,0.0579648917,0.0558736171,0.0676653881,0.1748396829,0.4412267687,1.6203432768
"120",0.0047926806,0.0061964778,0.0068330328,0.0516931666,0.1125589786,0.0691116148,0.0867297338,0.1012874328,0.133477925
"135",0.0069227993,0.0086566969,0.0077578861,,,,,,
"150",0.0069173968,0.0081907318,0.0080350598,0.0736756667,0.0854889414,0.0801448633,,,
"165",0.0066928662,0.0072126358,0.0060936242,,,,,,
"180",0.0062657883,0.0052098563,0.0056310216,0.0960657881,0.0463678778,0.0760371111,,,
"240",,,,,,,0.0767374526,0.0825796276,0.0872789987
"300",,,,,,,0.106070191,0.3770704931,0.1014363751
"360",,,,,,,0.1130534177,0.3279958433,0.1802156848
"480",,,,,,,0.1005714462,0.2232122043,0.1304348905
