"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0050592683,0.0041937566,0.0058441032,0.0493605694,0.0712454564,0.0376728512,0.151041474069098,0.3427266294,0.120555936
"15",0.0044497757,0.0051056131,0.0042315566,,,,,,
"30",0.0042825996,0.0043168759,0.0035596328,0.0470511876,0.0394528194,0.0373764434,,,
"60",0.0036413344,0.0050463136,0.0044906911,0.0664242331,0.0577140151,0.0610009212,0.0683266004,0.1626168473,0.1843484246
"120",0.0054854609,0.0071698397,0.0056831919,0.0480449107,0.0676282977,0.0839843901,0.07379839,0.1360543138,0.0916245789
"135",0.0058886798,0.0071019532,0.0052855902,,,,,,
"150",0.0057215294,0.0060502634,0.0046653058,0.0853947709,0.0681181823,0.0826030344,,,
"165",0.0047183559,0.0049094995,0.0034104979,,,,,,
"180",0.0054726455,0.0037998312,0.002528691,0.1004146269,0.0659095964,0.0962236343,,,
"240",,,,,,,0.070519447228521,0.0807793269,0.1818622813
"300",,,,,,,0.0829266137,0.134034968,0.0932874015
"360",,,,,,,0.1549763736,0.1035879331,0.1260683414
"480",,,,,,,0.1270517514,0.126812893,0.1119592496
