"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.00854091760075405,0.00296393344607219,0.00470409600894541,0.0334460872310284,0.00827572962740042,0.0200992497111405,0.1105923582,0.0262205987548178,0.1121413145
"15",0.000603419201268639,0.000433883196432197,0.000588135814717185,,,,,,
"30",0.000138459272358661,4.21938460977318e-05,0.000330976733617939,0.0293767921689716,0.00425472081854699,0.010011583982513,,,
"60",0.000198695051433323,0.000202743699623738,0.000541979324328393,0.0322257068544584,0.00185440426969142,0.0156993614244338,0.0242714599009342,0.00968187355485284,0.0376375494353668
"120",0.000139436518982078,1.96015718961321e-05,0.000397060297702906,0.0357027802999846,0.000983867159680269,0.0222404016415751,0.0432229475189456,0.00825765560769481,0.00932043408199554
"135",0.0007824608,0.0005075538,0.0007919126,,,,,,
"150",0.0006975479,0.000407865855355852,0.0006417028,0.0305419215,0.0031970515111156,0.017319100596512,,,
"165",0.0006121982898766,0.00039774538832064,0.000454958897710914,,,,,,
"180",0.000512633619598699,0.000219203003016368,0.000115545572157876,0.0265575598526746,0.00170806410318946,0.0143464185394165,,,
"240",,,,,,,0.050551115,0.00487810976221713,0.0109978810416664
"300",,,,,,,0.0488099704,0.137613835291557,0.011339663903637
"360",,,,,,,0.0214591134233742,0.12406381674621,0.00754493338294196
"480",,,,,,,0.014827613792262,0.0180701257998737,0.00488987569397379
