"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0711002351,0.1322313529,0.0412575885,0.082310698,0.0871802474,0.0773096084,0.0267610803,0.0290677801,0.0148653533
"15",0.3880113496,0.4454509491,0.3540774592,,,,,,
"30",0.3617492591,0.4631444694,0.2465032951,0.4759146203,0.5922281802,0.3735408963,,,
"60",0.1786678175,0.2467913361,0.0292913038,0.8751357363,0.2363687776,0.2101131182,0.1341228599,0.0573736683,0.1313525453
"120",0.0601296635,0.108264903,0.0178192507,0.2062146844,0.2439089012,0.0550439174,0.2087732008,0.12749737,0.0861405471
"135",0.0780996302,0.0847037766,0.0213909715,,,,,,
"150",0.0751746273,0.0473765419,0.0224421053,0.3415863342,0.2549593851,0.1401102908,,,
"165",0.0695486558,0.0528854467,0.0184561184,,,,,,
"180",0.024394493,0.0245108525,0.0067307668,0.3636305302,0.2430801543,0.0791498175,,,
"240",,,,,,,0.1038782729,0.1997916885,0.0494930136
"300",,,,,,,0.1401590014,0.1714801682,0.0411510441
"360",,,,,,,0.1635827745,0.0704532261,0.1577004423
"480",,,,,,,0.0598615725,0.1948791778,0.0604925809
