"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.00172146625829341,0.00433969611974442,0.00216714258150769,0.0021226244,0.0031218019,0.00266991347566773,0.00295262487505519,0.00313849197902048,0.00174033168222835
"15",0.0145160607,0.0151837532,0.0122995978,,,,,,
"30",0.0129975854,0.0154443319,0.0086998372,0.0168208442,0.0192669139,0.0132490599,,,
"60",0.0095955981,0.0120889158,0.0064575996,0.0308785769,0.0125594535,0.0079220723,0.0076760631,0.0035309865,0.0059541581
"120",0.0094779154,0.0110302804,0.0044867205,0.010342714,0.0096625152,0.0030777337,0.0092018008,0.003964012,0.0046970198
"135",0.0092070816,0.009672309,0.0041708192,,,,,,
"150",0.0082396914,0.0077723071,0.0041242658,0.0136995436,0.0093106668,0.0057566576,,,
"165",0.0068932826,0.0061071041,0.0030184852,,,,,,
"180",0.0067095994,0.004581697,0.0017249303,0.0143025903,0.0121577029,0.00445845771408924,,,
"240",,,,,,,0.0062403402,0.0045699049,0.0042260414
"300",,,,,,,0.0106990905,0.009822295,0.00325095122188414
"360",,,,,,,0.0103177911,0.0039162525,0.0112906678244544
"480",,,,,,,0.0059950445,0.0057279103,0.0048451603
