"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.00220347411263068,0.0032931665,0.0024031267,0.0190149208,0.0269111579,0.015825293404699,0.0289510128,0.0580677327,0.0269643967528406
"15",0.0073160379,0.0090628624,0.0093435263,,,,,,
"30",0.0079025999,0.0097215433,0.0066228585,0.0160002574578949,0.0203782269,0.0164526001397027,,,
"60",0.0057020751,0.00566326032023912,0.00240013399298526,0.0318503889,0.0183555719,0.0186873300264993,0.0148354333,0.0328442699,0.0279442389
"120",0.00450362061620807,0.0037338133,0.00257891151344769,0.0156492673,0.0190545971219816,0.0227254814,0.0120908582173422,0.0223147219,0.0224861786
"135",0.0041866229,0.0036494405,0.0023248821,,,,,,
"150",0.0037943406,0.0030951827,0.002151794,0.0300490645,0.0271655975,0.0292220613,,,
"165",0.0034958674,0.0028671786,0.0018394483,,,,,,
"180",0.00346539216401656,0.0020440878,0.0011553832,0.0389867849,0.0253129971778614,0.0265805804,,,
"240",,,,,,,0.0147460083410876,0.0198470628578949,0.0239073616386419
"300",,,,,,,0.0186568521,0.0250990554,0.0150327247
"360",,,,,,,0.0265651906,0.0188688509578424,0.0273074533
"480",,,,,,,0.0226106333005539,0.0244770282,0.0273062467155942
