"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.000841362676257745,0.0008458646,0.000880002142510526,0.00181958862745077,0.00148832659062982,0.0017654629,0.00713736233693462,0.0117297608,0.0089757447
"15",0.0022733416,0.002284837,0.0016605565,,,,,,
"30",0.001971587,0.0016497607,0.0012737566,0.0033089987,0.00310124014459356,0.0029280117,,,
"60",0.0013907152,0.0024055629,0.0015232496,0.0050148964,0.0033332045,0.0026794872,0.0053468211,0.00490120781544629,0.0066761495
"120",0.0012584471,0.0017233225,0.000611262950239081,0.0024281908,0.00153265174119153,0.0011201746,0.0024337418,0.00176540088304525,0.0050629071
"135",0.0012405126,0.0014328465,0.0007469919,,,,,,
"150",0.0010041848,0.0011186959,0.0007205536,0.0028638439,0.00176711,0.0017468439,,,
"165",0.0008309299,0.000920316,0.000544713,,,,,,
"180",0.000772339100973004,0.0007733945,0.000486974620762496,0.0033078171,0.00208594720542456,0.0014387973,,,
"240",,,,,,,0.00231098924906866,0.00156012130544875,0.0027729789
"300",,,,,,,0.0032906064,0.0025361682998176,0.0025156013
"360",,,,,,,0.0028554578,0.00231716597015384,0.0046260996
"480",,,,,,,0.00277499518366634,0.00317002814482812,0.004109238
