"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0032897393,0.0029733246,0.0037982259,0.054911052,0.0792130121,0.0456304506,0.0569790375270851,0.1723173583,0.0684451013
"15",0.0030143359,0.0030602022,0.0046608634,,,,,,
"30",0.0027576862,0.0030744308,0.0034787688,0.0450164913,0.053255603,0.0429637872,,,
"60",0.0023390129,0.002723985,0.0030109283,0.0875412569,0.0644024704,0.0615479438,0.050185657,0.1028308564,0.0694939861
"120",0.0028453161,0.0028794535,0.002668048,0.0503490145,0.0685480465,0.0860058093,0.0489044498,0.0837341702,0.0703189276
"135",0.0029071122,0.0030816871,0.0034124686,,,,,,
"150",0.0033965485,0.0031825173,0.0034278416,0.1025624757,0.0877925819,0.0988928977,,,
"165",0.0030470793,0.003166035,0.0028226345,,,,,,
"180",0.0037409133,0.0021291398,0.0029094519,0.1375789667,0.0816267335,0.0913365063,,,
"240",,,,,,,0.046171743,0.0672360558,0.083663861
"300",,,,,,,0.0541708267,0.0881158776,0.0490129373
"360",,,,,,,0.093228982,0.0657603723,0.0955620752
"480",,,,,,,0.0822215199,0.0933823656,0.0856530056
