"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0109585064,0.0080774603,0.006304188,0.0824747607,0.0571250741,0.0904423494,0.1299252709,0.1412088913,0.1346394166
"15",0.0086656378,0.0222951702,0.0197877697,,,,,,
"30",0.0073241291,0.0054692409,0.0140290901,0.0854518724,0.0673209265,0.095959257,,,
"60",0.0068919754,0.0084107995,0.0109082704,0.0702518562,0.0888012419,0.0889602454,0.1325206842,0.121664338756323,0.1453135145
"120",0.0049716674,0.012162706,0.0046266102,0.062249346,0.0716725838,0.0875238054,0.1381843492,0.1189780687,0.1297812873
"135",0.005241986,0.0097830553,0.0058386775,,,,,,
"150",0.0059365817,0.0101914239,0.0061478963,0.0696799971,0.0600980341,0.0766657459,,,
"165",0.0044528771,0.0070423822,0.0041230334,,,,,,
"180",0.0042998601,0.0039620798,0.0030997512,0.1156472293,0.0661354785,0.1068144919,,,
"240",,,,,,,0.1229316261,0.1209114458,0.1219442615
"300",,,,,,,0.1471592349,0.1493754531,0.1273641917
"360",,,,,,,0.1591699563,0.1374728095,0.1778776528
"480",,,,,,,0.1374562925,0.1227440829,0.1425023384
