"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.000277176300000001,2.39513e-05,6.2433200000002e-05,0.0156752243,0.0269380782,0.0175896735,0.0295219175,0.0769891943,0.0218849114
"15",0,7.62000000000276e-06,1.05818132034585e-18,,,,,,
"30",0,0,1.72429e-05,0.0084562429,0.0360657851,0.0364392499,,,
"60",0,5.95000000000323e-06,0,0.0211219133,0.0165593673,0.0217590704,0.0316469285,0.0448440443,0.0378414968
"120",0,0,5.47142857186197e-08,0.0092601163,0.0251602822,0.0225401512,0.0184002935,0.0223680739,0.0354889184
"135",6.27043705882492e-05,6.05000000015867e-07,0.000113469714285722,,,,,,
"150",0.000203275000000006,4.04950000000125e-05,0.000151769714285722,0.0173820024,0.0246768903,0.0242779842,,,
"165",0.000161080000000005,0.000191795000000011,0.000116494714285722,,,,,,
"180",5.03330000000015e-05,2.96290769696838e-18,1.35723051948083e-05,0.0319210567,0.0305893689,0.0294966489,,,
"240",,,,,,,0.0146527872,0.0365855402,0.0189905501
"300",,,,,,,0.022522466,0.0867673787,0.0296867494
"360",,,,,,,0.0567597684,0.0361654811,0.0894432252
"480",,,,,,,0.0627090807,0.0224863624,0.0553936942
