"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.00286570968795233,0.0030821914,0.0039120908,0.020348907,0.0237439505,0.0148240969,0.0402652803,0.0826832712,0.0217964861253772
"15",0.0036860687,0.0037806185,0.0043307995,,,,,,
"30",0.0038012115,0.0043579005,0.0038264511,0.0174886701,0.0158347789,0.0135617073,,,
"60",0.0028898045,0.0041019783,0.0031112609,0.0237952929,0.0185338197,0.0210942218,0.0135622388560676,0.0399363304,0.0250710981
"120",0.00393247,0.0058022195,0.0043278402,0.0150856866,0.0196086276,0.0224706354,0.0128972104,0.0359699197,0.0223598412
"135",0.0037987986,0.0050531273,0.0038464098,,,,,,
"150",0.003524095,0.0045704393,0.0034682799,0.0273363365,0.0226324177,0.0265839534,,,
"165",0.003349363,0.0039844902,0.0028526017,,,,,,
"180",0.0034065839,0.0031066047,0.0026761967,0.0344236337,0.0212992730228459,0.0294401695,,,
"240",,,,,,,0.0147940402,0.0220168674,0.0415403035
"300",,,,,,,0.0185008075,0.0251591529,0.023226366
"360",,,,,,,0.0254051592220316,0.0206178327,0.0286284721748568
"480",,,,,,,0.0280857153,0.0428153778,0.032009047
