"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.2996389285,0.2003621305,0.2506141678,0.6116281162,0.2837321035,0.1866050673,0.1502253367,0.6455907712,0.0722241332
"15",1.9553682,0.7810735266,0.6825220147,,,,,,
"30",1.6166583,0.9017717,0.4550067326,2.483121046,1.2410402758,0.6706219159,,,
"60",1.2375318,0.6142846728,0.3093726,4.5128182655,1.0182550685,0.5851110349,0.2616733902,0.4622694976,0.2169723613
"120",1.1669266,0.5941436,0.1951479749,1.2426545852,1.6176556399,0.4724991819,0.1165361006,1.2111820225,0.4510801497
"135",1.080299523,0.5200380479,0.1682112901,,,,,,
"150",0.9409934861,0.4147250252,0.2046519724,1.992358943,2.0054932339,0.8493743216,,,
"165",0.8001410185,0.3020206129,0.1213772419,,,,,,
"180",0.7606311716,0.1699354761,0.0459477029,1.8971135594,1.6098686512,0.8649273728,,,
"240",,,,,,,0.0696158897,0.5648705915,0.4185688855
"300",,,,,,,0.097468433,0.5387446793,0.316611896
"360",,,,,,,0.1116870396,0.4428281013,0.5168397136
"480",,,,,,,0.0789745688,0.5268756703,0.3449546317
