"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.4457582,0.2394124458,0.2105149548,0.6064755873,0.2735383837,0.1800080852,0.1210705306,0.1832659541,0.1348276275
"15",2.8171187,1.0124682455,0.794922006,,,,,,
"30",2.3245175,1.2050948,0.569369742,2.9853948766,1.3380633827,0.628111756,,,
"60",1.72112,0.7358838954,0.268910185,5.3547011442,0.9960664635,0.4673503546,0.1498383209,0.3898308809,0.2331578974
"120",1.4262395,0.639232737,0.1605073979,1.3269142821,1.372371097,0.3183882958,0.1426894429,0.7036142722,0.2466118953
"135",1.4279163921,0.5912748785,0.1608533795,,,,,,
"150",1.3325697669,0.4621343673,0.1251418364,1.9774159203,1.5804767419,0.4711562946,,,
"165",1.1091373241,0.444199294,0.1032735945,,,,,,
"180",0.9657221042,0.1871499391,0.0301368741,1.8404415373,1.2249830217,0.4631780222,,,
"240",,,,,,,0.0664216471,0.1862870088,0.1290558839
"300",,,,,,,0.0826072572,0.2302034291,0.1138884459
"360",,,,,,,0.1729905446,0.2004679763,0.2572486163
"480",,,,,,,0.0960956099,0.196853329,0.15364521
