"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.023883293,0.0390018344,0.0129400076,0.0224426914,0.0359081926671551,0.0250156486,0.0269096349,0.0897395777,0.0343750505
"15",0.0985855842,0.1168173407,0.0885245196,,,,,,
"30",0.0926423672,0.1265764882,0.0614970899,0.159393597,0.2280250189,0.1587717941,,,
"60",0.039606797,0.0665066094,0.0103289174,0.2974189769,0.2031887305,0.1041641745,0.3640447808,0.1521345007,0.3854287711
"120",0.0164429484941047,0.0309572654,0.0102403898,0.0858843865,0.1636254496,0.0790397977,0.6131547827,0.3463474496,0.2916589951
"135",0.0222337134,0.036926832,0.0129210512,,,,,,
"150",0.0260881928,0.0275979908,0.0132370917,0.1295710474,0.1556607164,0.1000858819,,,
"165",0.0241132328,0.0252329098,0.0109621095,,,,,,
"180",0.0094843207,0.0080884585,0.0067228761,0.1339959029,0.1451164793,0.0476147685,,,
"240",,,,,,,0.3007789687,0.4816789984,0.1228396665
"300",,,,,,,0.2330383868,0.2964310196,0.0957270084
"360",,,,,,,0.3853707711,0.1522812519,0.3091638238
"480",,,,,,,0.1684408519,0.2258748305,0.1249285992
