"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.000651293333548414,0.000359872840155883,0.000711938104205255,0.0265955407,0.0406788599595065,0.0237273763,0.0575226658414317,0.1082881311,0.0297216774
"15",0.000124042718924788,9.51519731844657e-05,7.70173066925441e-05,,,,,,
"30",7.25914467698197e-05,6.20226223003424e-05,0.00020678977291027,0.0223478040191055,0.0180140780113079,0.0145170988054258,,,
"60",9.19660409040554e-05,0.000159898348502072,6.41268987389752e-05,0.026567320588484,0.0253097544735734,0.0335767324,0.0197992971282935,0.0624900028,0.018044275259714
"120",5.05774826831374e-05,5.55609195340981e-05,0.000133056021474651,0.0238520678500534,0.0272409144792298,0.0428292328,0.0225243105,0.0523759671,0.036391309
"135",0.00015564706930858,0.000451771342503778,0.000318705561167472,,,,,,
"150",0.000452230316407485,0.000466106925048197,0.000344977702530317,0.041699628,0.0285641631,0.040078059,,,
"165",0.000251381680887869,0.000474114434773296,0.000336498477239476,,,,,,
"180",0.000568262888059668,5.44907663445416e-05,0.000196218904453512,0.0506957523915584,0.0250946949555373,0.0486955211,,,
"240",,,,,,,0.0225239815797849,0.0303471904,0.0635680503
"300",,,,,,,0.0333949752,0.0498443788,0.0378768537
"360",,,,,,,0.0764442471,0.0424542041,0.1122850007
"480",,,,,,,0.0549824888,0.0548660437805946,0.0690213643
