"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0058847465,0.0053326266,0.0071738462,0.0657808694,0.0862787775,0.0496033321,0.1468546154,0.3202754116,0.1307267496
"15",0.0050064766,0.0044911919,0.0037394541,,,,,,
"30",0.0047629474,0.0039331613,0.0031408538,0.0499064418,0.0512308847,0.0453037906,,,
"60",0.0045516742,0.0061990569,0.0055071926,0.0785087339,0.0765321041,0.0678774902,0.0716092587,0.1595347771,0.1346917728
"120",0.0083750366,0.0097096396,0.0077834728,0.05205707,0.0784517706,0.1012647619,0.0868737784,0.1528199377,0.1165928949
"135",0.0078651454,0.0090618353,0.0072096744,,,,,,
"150",0.0086872321,0.0094250568,0.0081186165,0.0974891483,0.085397118,0.0974426579,,,
"165",0.0078455457,0.0080659212,0.0068623216,,,,,,
"180",0.0083890617,0.0069294082,0.006588841,0.1254315923,0.0817167213,0.0978427108,,,
"240",,,,,,,0.0840134764,0.1058514496,0.1839110206
"300",,,,,,,0.0924345449,0.1358667582,0.0976059358
"360",,,,,,,0.1526762505,0.1134193749,0.130802521
"480",,,,,,,0.1398288032,0.1334322452,0.1298658902
