"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0050236916,0.0070294175,0.0070140718,0.0728984481,0.0998675273,0.0624238889,0.1146367522,0.296985681067311,0.1076591635
"15",0.0054758407,0.0115895182,0.0117852923,,,,,,
"30",0.0054570203,0.0110106065,0.0088380273,0.0704253552,0.0810764244,0.0669740172,,,
"60",0.0051230555,0.0120889664,0.0143376401,0.1232313826,0.0944125935,0.0862354165,0.0719590651,0.150129099,0.1109048534
"120",0.0101974388,0.0157576736,0.008241792,0.0733268354,0.0943314289,0.1097857853,0.0735442314,0.1432303683,0.1055365899
"135",0.0094933044,0.0130273072,0.0081173955,,,,,,
"150",0.0093832514,0.0122055277,0.0083412429,0.1414901666,0.1111652509,0.1356423574,,,
"165",0.0093380195,0.0108404437,0.0082283414,,,,,,
"180",0.0108706404,0.010034028,0.0076193963,0.1893139293,0.1154378172,0.122895575347032,,,
"240",,,,,,,0.070329821,0.0943514805,0.1288533356
"300",,,,,,,0.0860259552,0.1301122024,0.0862197648
"360",,,,,,,0.1345430961,0.102472402,0.1374134225
"480",,,,,,,0.106259915,0.1443795467,0.1310528048
