"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.000386343599999983,0.0001034609,5.61999999999944e-05,0.037685079,0.0752621153,0.0538482079,0.0359083171,0.1053144191,0.0393743921
"15",0,0.00127399999999999,-8.08e-18,,,,,,
"30",0,0,-8.06e-18,0.0313360185,0.0485789156,0.0967698042,,,
"60",0,0.000289199999999992,0,0.0334469094,0.0607909286,0.0786879961,0.1339190682,0.0913379903,0.1329274083
"120",0,0,4.83183999999759e-05,0.0166934383,0.0856742564,0.0648117135,0.0661523657,0.0746578542,0.0914927437
"135",0.000510931524999944,0.000606474999999943,0.000113269999999936,,,,,,
"150",0.00100345312499994,0.00116613499999995,0.000897329999999936,0.0414514972,0.0685929551,0.0802604007,,,
"165",0.000723200124999952,0.00139707499999994,0.000898799999999944,,,,,,
"180",0.00214255392499998,-1.609e-17,0.00130954999999998,0.1065722207,0.0693066032,0.0828816298,,,
"240",,,,,,,0.0369981568,0.0779697032,0.0527653378
"300",,,,,,,0.0563022501,0.1238617963,0.0495559555
"360",,,,,,,0.132794806,0.0816207186,0.1851142155
"480",,,,,,,0.0969202585,0.0725665447,0.1044667246
