"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0308386317,0.0579690417,0.0207491413,0.0298880745,0.0869534971,0.0340534446,0.0319285269,0.1258354115,0.0436308429
"15",0.169987087,0.1902312826,0.1191056731,,,,,,
"30",0.1575065452,0.1990736159,0.0823013948,0.2538846591,0.3636378604,0.2423971279,,,
"60",0.1076934515,0.1310627004,0.0413380176,0.495050419,0.3960695022,0.1625956112,0.5318266049,0.2240845077,0.5717450834
"120",0.0836273111,0.0835202576,0.0309015297,0.1951553187,0.2627586996,0.1332126786,0.877027358,0.5136664124,0.4059326557
"135",0.0835003064,0.0856169088,0.0343459706,,,,,,
"150",0.0685683469,0.0545485933,0.0271005912,0.2586530347,0.2607238301,0.1929974402,,,
"165",0.0582172778,0.0462666266,0.0211493071,,,,,,
"180",0.0535885675,0.0239893785,0.00891187539,0.2272834908,0.2461164828,0.0720513099,,,
"240",,,,,,,0.4269200026,0.7101670792,0.1695632654
"300",,,,,,,0.3075394455,0.4551499932,0.1329556109
"360",,,,,,,0.4762142035,0.2149613403,0.4079909133
"480",,,,,,,0.2066843057,0.295867566,0.1247774611
