"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.000434429714285677,0.000308818,0.0012237555,0.0653677932,0.1192057828,0.0660703884,0.0478121446,0.1535456168,0.125808919
"15",0,-3.58e-17,-1.81e-17,,,,,,
"30",0,0,4e-05,0.076954111,0.1037532392,0.072465294,,,
"60",0,-3.78e-17,0,0.0789412554,0.1019570362,0.0637232657,0.1995960115,0.177136421,0.3149383462
"120",0,0,0.00153092999999996,0.0382183951,0.0877540839,0.1233283308,0.0841943111,0.1027140584,0.1993256228
"135",0.000529347711111,0.00031170529999985,0.0025728413999999,,,,,,
"150",0.000744147711111019,0.000630305299999907,0.00299802139999992,0.0825740672,0.0997016002,0.1371256892,,,
"165",0.000920066599999981,0.000789843299999925,0.00288961139999994,,,,,,
"180",7.07699999999619e-05,8.95e-05,0.00129543999999996,0.1098285033,0.1294114519,0.1321390721,,,
"240",,,,,,,0.0792587441,0.1283039243,0.1151860766
"300",,,,,,,0.0887181457,0.2918096035,0.1108845316
"360",,,,,,,0.1424801139,0.0938693591,0.2306029874
"480",,,,,,,0.1475685903,0.0794851835,0.150744664
