"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0056843628,0.0066485472,0.0103267861,0.0244316956,0.0368691882,0.0198101333,0.0338389919134207,0.1254817243,0.0432490817
"15",0.00652529437321391,0.0041954028,0.00237535295138514,,,,,,
"30",0.0069007288,0.0039489717,0.0027835257,0.020930991,0.0215779163,0.0215219293113866,,,
"60",0.0061721842,0.0075801203,0.0070505741,0.0361934184,0.0320070953,0.0354716509,0.0275578795,0.0533595823,0.0548036285
"120",0.0118535807,0.0143481831,0.0122151269,0.0228603474051427,0.0362455723,0.050066287,0.0241285069602394,0.052093887,0.0393906298
"135",0.0116725934,0.0130771439,0.0109829704,,,,,,
"150",0.0107878297,0.0119945602,0.0099522604,0.0432056266,0.035893978,0.0479261605,,,
"165",0.0106079635,0.0111008732,0.0093580398,,,,,,
"180",0.011155153,0.0106919235,0.010775704,0.0533557356,0.0380629788,0.045636816,,,
"240",,,,,,,0.0221527041431869,0.0410549864504844,0.0721552266
"300",,,,,,,0.0254011538,0.0657700303,0.0292778362003373
"360",,,,,,,0.0589282935,0.0398289772,0.0632531487
"480",,,,,,,0.0560843025,0.04813807,0.0503422855
