"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.0050086702,0.0058833098,0.0052714258,0.0182565944,0.0310152693,0.0168658812408591,0.0258270338,0.0337288118949622,0.0302630342
"15",0.014860009,0.0128186172,0.0161642878,,,,,,
"30",0.0157806064,0.0148712773,0.0125876821,0.0332814111,0.0415633355,0.0350210553,,,
"60",0.0125661232,0.0173084041,0.0120875505417781,0.0646182899,0.0482583776,0.0302784582,0.0487041191,0.0671768171961155,0.0753604302
"120",0.0178190687,0.0194077009251241,0.0104599176,0.0277717637,0.0345741796,0.0278750182,0.0571807289,0.0608061641,0.0657068537
"135",0.0154880585,0.0156839701,0.0096436544,,,,,,
"150",0.014062298,0.0141572752,0.0099760948,0.0463224972,0.0452739482,0.0543805495,,,
"165",0.0121372388,0.0114543851,0.0083222529,,,,,,
"180",0.0120488166,0.0101434775,0.00530935938147126,0.0511211154,0.0500559638,0.0442426348496574,,,
"240",,,,,,,0.0666799281660089,0.0397505225,0.089743972
"300",,,,,,,0.1238724528,0.058523897,0.0567817746
"360",,,,,,,0.13846186,0.0453233465,0.1044003639
"480",,,,,,,0.1295919354,0.077365276,0.0689500825
