"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.000544370399999996,0.0002146667,0.0004389589,0.081482523,0.1117214364,0.070760769,0.0790572728,0.0948870754,0.0943952801
"15",0,0.000214119999999994,-5.95e-18,,,,,,
"30",0,0,6.56222e-05,0.089015365,0.108638625,0.0943840396,,,
"60",0,-1.209e-17,0,0.0676324239,0.1146720973,0.0899324189,0.188401709,0.0805627476,0.118722193
"120",0,0,0.000156099999999982,0.0492628165,0.0815463924,0.1107312323,0.0761161135,0.0939397994,0.0740697743
"135",9.90715999999645e-05,6.07999999999522e-05,0.000237922199999964,,,,,,
"150",0.00612182159999999,0.00596080999999998,0.0122972,0.1438928472,0.1418731092,0.2187315868,,,
"165",0.000904653299999982,0.00132580999999997,0.00163119999999998,,,,,,
"180",0.00170699999999999,-1.137e-17,0.0006648066,0.1611472802,0.1342599288,0.1635476422,,,
"240",,,,,,,0.0539393996,0.1305311631,0.0456917177
"300",,,,,,,0.0905030313,0.1627204913,0.0462931046
"360",,,,,,,0.2086377101,0.0935299491,0.1789967592
"480",,,,,,,0.1622333759,0.1035047308,0.1843639187
