"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.00535571184274735,0.0066135077,0.010676797,0.0123930118176705,0.0181629132,0.0108745366907388,0.00291867028619292,0.00667526692845828,0.0181939187406248
"15",0.0052580569,0.00489297609224889,0.0045041646,,,,,,
"30",0.0056724527,0.005325804,0.0036270452,0.0174919925,0.0129954917,0.0126846072583745,,,
"60",0.0062604411,0.0084811766,0.00636551085702488,0.0238874632,0.0190209709,0.018685582,0.0154288549393857,0.0381471435,0.0178281239
"120",0.0110091056388497,0.0120756427611264,0.0102702372077377,0.0189742456318334,0.017912374,0.024930135,0.0272242389,0.0375964806,0.033442313
"135",0.0112430628,0.0120965378,0.0100888836,,,,,,
"150",0.0102254246,0.00968508070069464,0.0089791881,0.0279839613,0.0204809875,0.025767079,,,
"165",0.0102180585,0.0094125953,0.0090460921,,,,,,
"180",0.0126390655,0.0107499871,0.0109295282,0.0328552955,0.0236427832206396,0.0306201157931316,,,
"240",,,,,,,0.0262747615771932,0.0288894818,0.0596465919
"300",,,,,,,0.036433297,0.0332796868,0.036562506
"360",,,,,,,0.051962515,0.0267476383994611,0.0483951139
"480",,,,,,,0.0413046043,0.032678787,0.0405783777
