"Timepoint","BC_Gastric","SC_Gastric","CC_Gastric","BC_Duodenal","SC_Duodenal","CC_Duodenal","BC_Ileal","SC_Ileal","CC_Ileal"
"0",0.00543168969999996,0.0033905411,0.004805953,0.2075060953,0.3793635632,0.1706017634,0.1960506268,0.2522373658,0.2910973978
"15",0,7.82e-05,-2.64e-17,,,,,,
"30",0,0,-2.65e-17,0.175766084,0.2677059693,0.2102506863,,,
"60",0,-5.5e-17,0,0.2165665969,0.2799706527,0.171504553,0.550772033,0.3189450155,0.5290951626
"120",0,0,0.00022399999999992,0.1072895886,0.25819852,0.3485282561,0.2867905232,0.3427924036,0.5554395963
"135",0.00134638329999984,0.000417455599999757,0.000399999999999812,,,,,,
"150",0.00134638329999984,0.000417455599999784,0.000399999999999786,0.2976591015,0.3169735058,0.5041960588,,,
"165",0.00138558329999981,0.000944105599999783,0.000623999999999813,,,,,,
"180",-7.98e-17,-5.38e-17,0.000450429999999947,0.3441681212,0.2961020612,0.472627387,,,
"240",,,,,,,0.1904284912,0.4671504171,0.210424039
"300",,,,,,,0.2354414971,0.3504243097,0.2639359493
"360",,,,,,,0.504939156,0.2850807334,0.8094130475
"480",,,,,,,0.3493505213,0.242809962,0.4859640787
