"","IL21","IL50","IL74","IL2","IL102","IL63","IL9","IL43","IL41","IL181","IL170","IL46","IL77","IL184","IL157","IL12","IL160","IL22","IL29","IL171","IL80","IL183","IL188","IL112","IL92","IL143","IL162","IL146","IL84","IL26","IL119","IL64","IL31","IL60","IL99","IL110","IL128","IL164","IL51","IL39","IL30","IL180","IL134","IL61","IL58","IL13","IL108","IL109","IL47"
"conc_BA1_0.7ppm",0.221,0.0486,0.0732,0.0675,0.0789,0.0424,0.141,0.0847,0.43,0.0827,0.0247,0.252,0.117,0.072,0.115,0.0449,0.0226,0.00073,0.0152,0.00407,0.101,0.147,0.0569,0.912,0.0531,0.461,0.868,0.144,0.309,0.0294,0.121,0.0455,0.0554,0.223,0.0564,0.322,0.333,0.115,0.0363,0.0133,0.469,0.535,0.407,0.102,0.236,0.0563,0,0.206,0.121
"conc_BA1_7.5ppm",0.094,0.00565,0.0478,0.0383,0.0416,0.0243,0.104,0.0481,0.0891,0.0302,0.0106,0.0397,0.0602,0.0573,0.0724,0,0.0117,0.0098,0.00455,0.00946,0.0484,0.0722,0.00211,0.455,0.00931,0.239,0.451,0.0637,0.196,0.0143,0.0542,0.0145,0.0217,0.22,0.0322,0.109,0.0427,0.011,0.0157,0.00867,0.126,0.168,0.0526,0.0588,0.101,0.028,0.0318,0.0803,0.0556
"conc_BA2_0.7ppm",0.0939,0.0149,0.0828,0.0394,0.0543,0.0456,0.202,0.0173,0,0,0,0.113,0.0475,0.0251,0.015,0.0156,0.00246,0,0.00268,0,0.0151,0.0157,0.00214,0.105,0.0151,0.0391,0.0874,0.0636,0.0443,0.00567,0.00989,0.00433,0.0125,0.153,0.0108,0.0394,0.0331,0,0.00443,0.00539,0.0391,0.0588,0.0156,0.0753,0.0447,0.013,0.158,0.102,0.0263
"conc_BA2_7.5ppm",0.0554,0.0309,0.0152,0.0131,0.00691,0.011,0.00644,0,0.00886,0.0131,0,0.0309,0.05,0.0309,0.0241,0.0294,0.00683,0.0331,0,0.00662,0.0346,0.0107,0.0108,0.0832,0.0245,0,0.13,0.0197,0.0358,0.00629,0.00104,0.00346,0,0.143,0,0.0127,0.0226,0,0.00568,0.00801,0.049,0.0797,0,0.0299,0,0.0123,0.0859,0,0
"conc_BA3_0.7ppm",0.11,0.0305,0.0771,0.0201,0,0.0175,0.0864,0.053,0.218,0.0305,0.0197,0.0294,0.0614,0.0627,0.0845,0.0556,0.0132,0,0.013,0.00119,0.151,0.077,0.00567,0.141,0.00508,0.0905,0.151,0.0303,0.0747,0.0146,0.0254,0.0104,0.0273,0.199,0.0291,0.0493,0.0779,0.0403,0.00997,0.00517,0.284,0.192,0.0676,0.0739,0.05,0.0228,0.135,0.112,0.0351
"conc_BA3_7.5ppm",0,0.0188,0.0155,0,0.0223,0.0116,0.0867,0.0486,0.0958,0.00358,0.02,0,0.0492,0.0405,0.0359,0.024,0.0135,0,0.0264,0.00716,0.0436,0.0516,0.0306,0.13,0.000742,0.0489,0.0268,0.00625,0.0528,0.0285,0.0139,0.0157,0.0393,0.111,0.0211,0.0199,0.0106,0.0122,0,0.00581,0.0728,0.0831,0.023,0,0.0514,0,0.116,0.112,0.019
"conc_BA4_0.7ppm",0.445,0.133,0.277,0.36,0.413,0.211,0.646,0.507,0.43,0.484,0.141,0.376,0.794,0.826,0.954,0.124,0.101,0.00539,0.0484,0.00321,0.387,0.49,0.131,2.07,0.131,1.1,1.9,0.323,0.91,0.241,0.389,0.124,0.142,1.31,0.18,0.537,0.831,0.442,0.239,0.0889,0.99,1.22,0.443,0.283,0.59,0.153,0.794,0.502,0.34
"conc_BA4_7.5ppm",0.226,0.119,0.233,0.289,0.324,0.181,0.461,0.489,0.486,0.303,0.0992,0.446,0.864,0.641,0.802,0.0607,0.0615,0.00804,0.0286,0.0168,0.297,0.372,0.0995,1.6,0.11,0.877,1.5,0.23,0.688,0.0419,0.263,0.0948,0.0951,1.13,0.139,0.681,0.0695,0.0883,0.193,0.0768,1.19,1.42,0.66,0.182,0.44,0.117,0.558,0.436,0.211
"conc_BA6_0.7ppm",0,0.00594,0.127,0.0457,0.0711,0.056,0.158,0.0438,0.242,0.0714,0.00735,0.0321,0.138,0.239,0.11,0.0991,0.0451,0.0105,0.0311,0.00407,0.241,0.289,0.0142,0.225,0.0101,0.117,0.233,0.0555,0.144,0.0512,0.0426,0.0136,0.0417,0.255,0.0511,0.0799,0.242,0.0819,0.0239,0.016,0.373,0.651,0.0916,0.0976,0.0864,0.0418,0.123,0.175,0.0631
"conc_BA6_7.5ppm",0.0149,0,0.163,0.0188,0.0131,0.0584,0.334,0.0448,0.259,0.0541,0,0.018,0.0776,0.173,0.106,0.0485,0.0274,0.00273,0.0171,0.00443,0.296,0.283,0.016,0.216,0.00478,0.0721,0.232,0.0307,0.139,0.00615,0.00823,0.00837,0.0299,0.304,0.0383,0,0.0149,0.0581,0.00998,0.00858,0.547,0.688,0.115,0.0824,0.0291,0.0315,0.177,0.22,0.03
"conc_BA7_0.7ppm",0.0957,0.0417,0.114,0.157,0.21,0.141,0.389,0.266,0.0283,0.012,0.00216,0,0.0902,0.0579,0.0217,0.0135,0.0181,0.00287,0.00804,0.00277,0.0758,0.0785,0.0211,0.221,0,0.0918,0.154,0,0.133,0.033,0.0345,0.0108,0.0256,0.128,0.0355,0.205,0,0.0332,0.00339,0,0.0584,0.106,0.0703,0.0128,0.124,0.0405,0.0626,0.127,0.0701
"conc_BA7_7.5ppm",0.114,0.0478,0.181,0.127,0.202,0.132,0.321,0.12,0.0693,0.0788,0.0128,0.11,0.107,0.0564,0.0259,0.0311,0.0357,0.00206,0.0244,0,0.106,0.118,0.0292,0.181,0.0124,0.11,0.128,0.0586,0.107,0,0.0656,0.0185,0.0363,0.23,0.0384,0.114,0,0.194,0.02,0.0155,0.0554,0.107,0.079,0.0918,0.17,0.0351,0.138,0.222,0.0856
"Formate",0.242026411,0.256959402,0.250446104,0.087008919,0.10598575,0.103251951,0.123659441,0.109480746,0.023978885,0.003922313,0.005526434,0.008255209,0.145121638,0.069680222,0.009092832,0.172503472,0.166612437,0.150132019,0.173972394,0.196029536,0.167258682,0.281788562,0.170582096,0.15534479,0.146359161,0.218150225,0.21090092,0.172914492,0.116406189,0.118089575,0.143570663,0.098872813,0.097923689,0.277940997,0.136272262,0.12524819,0.081730424,0.089229127,0.103665706,0.078437394,0.145435805,0.158061277,0.101676841,0.088506759,0.087321618,0.075172945,0.10842527,0.096042081,0.077447784
"Fumarate",0.037228202,0.003076353,0.00905772,0.006462165,0.001689746,0.00052244,0.002097422,0.000400286,0.023510569,0.001373533,0.004086769,0.009261094,0.007874399,0.011549334,0.010411533,0.001297941,0.00166477,0.004509979,0.001854593,0.001245986,0.000619409,0.002577018,0.006028522,0.001106469,0.000486862,0.002847689,0.003388407,0.0005936,0.003549903,0.020016371,0.002108963,0.000718773,0.000881552,0.005466477,0.003144487,0.00476577,0.017833295,0.00059754,0.004897071,0.000456983,0.001378061,0.005008396,0.002600186,0.002812951,0.000349554,0.001514035,0.008716675,0.007199927,0.005813721
"Glutamine",0.109848752,0.038981484,0.113836739,0.047413901,0.034080753,0.025892553,0.065280984,5.5070541931109e-05,0.055590708,0.034441364,0.022069466,0.167764178,0.140815186,0.084674715,0.06381888,0.039924921,0.016799334,0.028217544,0.01996833,0.010066009,0.082239168,0.03681536,0.028010486,0.01202982,0.000848604,0.019059317,0.058686312,0.004772551,0.002034673,0.005073648,0.020241548,0.016223502,0.012065823,0.082033857,0.011032608,0.009181935,0.052781046,0.022939799,0.021294345,0.004037675,0.022157928,0.08822882,0.005982923,0.002618504,0.066843796,0.033956903,0.245860097,0.161958569,0.022669594
"Histidine",0.108617375,0.018505105,0.133547683,0.057067679,0.030571835,0.007150764,0.029129423,0.01399933,0.079469876,0.039890904,0.018625524,0.122478885,0.039321463,0.02798513,0.100722343,0.029363784,0.018604728,0.027623238,0.023517432,0.006989218,0.072187819,0.042757696,0.030376147,0.024836389,0.002565515,0.006438877,0.017528171,0.003240663,0.010587617,0.026426478,0.02920901,0.016986948,0.016192388,0.052917823,0.007138985,0.025192299,0.135893,0.020746807,0.019246308,2.23700033729527e-05,0.038746808,0.081313902,0.021472709,0.00083704,0.055668898,0.045753831,0.21127979,0.110754314,0.02870418
"Maltose",0.063471428,0.027668989,0.648104845,0.002526635,0.835393386,0.046830158,0.058672352,0.046757032,0.019250291,0.010570597,0.027868043,0.186544435,0.255757086,0.045891423,0.043316647,0.004878578,0.007949021,0.027421114,0.011389489,0.005029313,0.069696148,0.339537247,0.002941183,0.095089819,0.003613483,0.138083846,0.070694866,0.025669151,0.022264,0.004917054,0.154064749,0.011155966,0.020374219,0.055318004,0.009425498,0.074953815,0.035134637,0.017359072,0.074004981,0.022524509,0.130944071,0.063890906,0.024887609,0.013783801,0.572390736,0.002590059,0.090573907,0.018755394,0.164919786
"Maltose_5.42d",0.0634714,0.027669,0.648105,0.00252663,0.835393,0.0468302,0.0586724,0.046757,0.0192503,0.0105706,0.027868,0.186544,0.230181,0.0458914,0.0433166,0.00487858,0.00794902,0.0274211,0.0113895,0.00502931,0.0696961,0.339537,0.00294118,0.0950898,0.00361348,0.138084,0.0706949,0.0256692,0.022264,0.00491705,0.154065,0.011156,0.0203742,0.055318,0.0094255,0.0749538,0.0351346,0.0173591,0.074005,0.0225245,0.130944,0.0638909,0.0248876,0.0137838,0.572391,0.00259006,0.0905739,0.0187554,0.16492
"Methionine",0.074394912,0.010852354,0.095060255,0.032945518,0.017030123,0.00381346,0.003534345,0.002694112,0.027633559,0.025224926,0.017480467,0.125032327,0.037930204,0.012195179,0.063519534,0.032820115,0.00724407,0.023147547,0.013903939,0.007533587,0.07826584,0.010472263,0.019320636,0.004157212,0.001289988,0.010928723,6.61874856850254e-06,0.002341966,0.001082011,0.009660194,0.0166776,0.010473123,0.004862947,0.001068041,0.00364505,0.004869097,0.048610278,0.01363611,0.016825831,0.005765121,0.00274818,0.017893899,0.010571634,6.88725377232764e-06,0.036611974,0.023297698,0.072374811,0.032559996,0.015687067
"n.Butyrate",0.004538678,0.012426784,0.004866989,0.007155706,0.004778428,0.004951393,0.001301612,2.0518269777286e-05,0.045648708,0.0049943,0.005382493,0.015163968,0.017934993,0.007656036,2.08145698634496e-05,0.159372673,0.021857272,0.017971679,0.01912608,0.010822545,1.87296804070008e-05,0.012454194,0.066113505,1.90654803780064e-05,0.001889149,1.88820363695131e-05,2.01070064002754e-05,0.001170816,0.003331602,0.036212,0.00653528,0.023025477,0.005564954,5.89245919698887e-05,0.004889177,1.84729098835638e-05,0.291737716,1.77173449081293e-05,0.007150153,0.006211779,1.9170378843875e-05,1.98883983595425e-05,1.95936041434546e-05,0.222941082,2.26089946692327e-05,0.005077545,2.22611532107278e-05,2.22134132332154e-05,0.001793847
"Phenylalanine",0.201719417,0.055364251,0.246919741,0.113063388,0.078270707,0.02546727,0.069090497,0.044227501,0.132946835,0.08927193,0.044432824,0.274163699,0.12038192,0.068898377,0.203043775,0.14056627,0.045191444,0.067870475,0.045803708,0.010258321,0.212336079,0.094163155,0.047286676,0.131246169,0.004120222,0.173226746,0.091518628,0.01641466,0.035677716,0.066345456,0.087741659,0.038107756,0.028581461,0.07314761,0.011735017,0.065949767,0.348458829,0.061140063,0.037942727,0.012612869,0.082237289,0.200354604,0.060157583,0.044752644,0.19464436,0.095948041,0.404161947,0.248939325,0.077018829
"Propionate",0.06973536,0.022753608,0.005412446,0.010946057,0.005420842,0.006508919,0.003939979,0.005512682,0.099575672,0.006962999,0.003409355,1.32122264598694e-05,0.002007321,1.51307952933191e-05,0.007887078,0.029322153,0.016774277,0.015659656,0.013509911,0.016649677,0.006521731,0.019906103,0.031993903,1.51902418241437e-05,0.012803793,0.007299971,8.44581671936573e-06,0.013273595,0.009800315,0.039276687,0.011209039,0.008618753,0.008793899,0.008427958,0.007595782,0.008160913,0.088354568,0.011703104,0.008355704,0.006483051,1.22424257450935e-05,0.003814914,0.006896796,0.06769505,0.010388275,0.008027494,0.009132649,0.004747545,0.01855592
"Raffinose_5.43d",0.0767509,0.0180279,0.0832098,0,0.0264301,0.041083,0.034549,0.279094,0.00800202,0.0655372,0.0455016,0.136111,0.113583,0.0775232,0.165726,0.00374608,0.031355,0.0452393,0.00599232,0.000540823,0.0162876,0.106432,0,0.228662,0.0081129,0.0101826,0.538615,0.0187053,0.149147,0,0.269914,0.035217,0.030543,0.128182,0.0177064,0.177533,0.0298851,0.086258,0.0419375,0.00549069,0.16704,0.212503,0.124137,0.00539036,0.162016,0.00417599,0.193162,0.0298845,0.0679627
"Raffinose_5d",0.0224579,0,0.0193919,0.000502435,0.0116345,0.0109298,0.0183421,0.110245,0,0.0251703,0.00755832,0.0478028,0.0378718,0.00799042,0.0451461,0.00958752,0.00474595,0.0112498,0,0.000945361,0.00582182,0.0328887,0.00272481,0.0818138,0.00139348,0.0104134,0.0558271,0.00279565,0.0549995,0.0117463,0.0481015,0.0100917,0.00678565,0.0315332,0.00569993,0.0608258,0,0.0249543,0.0172363,0.000628802,0.0699155,0.0690007,0.0440327,0.000480773,0.05648,0.0017133,0.0224012,0.00697464,0.0280778
"SR",0.206995697,0.037490147,0.217492917,0.000543135,0.127014414,0.106109536,0.084788297,0.964424688,0.057087589,0.226469035,0.119413093,0.437605713,0.314817781,0.153615726,0.447700454,0.020388797,0.072358297,0.11616206,0.018473792,0.01302821,0.037563198,0.344427809,0.002777921,0.755737887,0.022200284,0.043382533,0.647299866,0.032430063,0.49035051,0.019282283,0.335150457,0.107074169,0.0715594,0.2831785,0.031780673,0.532483806,0.111738645,0.274294535,0.174766007,0.01746266,0.458576003,0.523045195,0.446825219,0.010718402,0.527510445,0.017844303,0.529328634,0.085851076,0.216375622
"Stachyose_4.15dd",0.229604,0.2402,0.492893,0.00266953,0.144278,0.105504,0.102726,0.819309,0.342068,0.210172,0.119383,0.949282,1.96704,0.944905,0.522565,0.0516768,0.054813,0.114464,0.193317,0.0522572,0.174739,0.308094,0.039349,0.675489,0.0735984,0.0971932,0.641461,0.0180922,0.341302,0.0294257,0.322684,0.197446,0.120452,1.97693,0.208137,0.467205,0.541213,0.235929,0.224649,0.124018,0.407543,0.563974,0.40373,0.027568,0.420101,0.0956671,1.20067,0.26095,0.164449
"Stachyose_5.43d",0.146954,0.0339254,0.182924,0,0.0993875,0.0801104,0.0577695,0.778478,0.0583947,0.178399,0.0880219,0.318673,0.245393,0.121687,0.345966,0.0135864,0.0494513,0.0805757,0.0123212,0.00850927,0.024209,0.294331,0.000958602,0.611854,0.0117744,0.0233092,0.224409,0.0189562,0.388526,0.0061485,0.109637,0.0752295,0.0498,0.230667,0.0211757,0.416634,0.111016,0.217731,0.148881,0.0103681,0.402068,0.464759,0.370629,0.00761362,0.392426,0.00992222,0.461706,0.083071,0.16263
"Stachyose_5m",0.184538,0.0374446,0.198101,0,0.11538,0.0951797,0.0664462,0.85418,0.0570498,0.201299,0.111855,0.389803,0.276946,0.145625,0.402554,0.0108013,0.0676123,0.104912,0.0184301,0.0120828,0.0317414,0.311539,0,0.673924,0.0208068,0.0329691,0.591473,0.0296344,0.435351,0.00753595,0.287049,0.0969825,0.0647737,0.251645,0.0260807,0.471658,0.111699,0.24934,0.15753,0.0168339,0.388661,0.454044,0.402792,0.0102376,0.47103,0.016131,0.506927,0.0788764,0.188298
"Sugar1_5.03d",0.0272823,0.00961167,0.0111152,0.0220393,0.0165866,0.0116259,0.00878183,0.160237,0.00876093,0.0418193,0.0261166,0.072983,0.0245782,0.0144724,0.0898488,0.00139213,0.0128291,0.0223703,0.00338196,0.00314154,0.0010549,0.0566066,0.00666186,0.125827,0.00323007,0,0.10107,0.00747978,0.0830408,0.00184703,0.057567,0.016093,0.0128515,0.0441257,0.00351165,0.0876648,0.0187317,0.0476009,0.0316493,0.00196719,0,0,0.0749574,0.000542605,0.0928797,0.00425647,0.0581716,0.00235791,0.030562
"Sugar11_5.4d",0.067649,0.0166603,0.0697119,0.0063618,0.0794263,0.0137514,0.0293058,0.00266794,0.0192762,0.00286267,0.0165871,0.138597,0.126549,0.0436043,0.0432682,0.0121172,0.0114892,0.0387187,0.0125299,0.012703,0.0334574,0.0794334,0.00873184,0.0338011,0.00178478,0.0877806,0.0443989,0.00633588,0.000483066,0.00503655,0.0805061,0.00958767,0.00761703,0.0404659,0.00623821,0.0414557,0.0253631,0.005826,0.0308172,0.012599,0.0648821,0.0778299,0.0122278,0.00601672,0.0878138,0.00208978,0.0719794,0.0183729,0.0220603
"Sugar111_5.4d",0.0459597,0,0.0294428,0,0,0,0.0182774,0.00281283,0,0,0.0020987,0,0.117207,0.0141297,0,0.0060818,0.00139232,0.00106313,0.00557534,0.00565564,0.0181677,0.0175899,0.00129227,0,0,0.0420659,0,0,0,0,0.0391441,0,0,0.00195562,0.00552546,0,0,0,0.00231232,0.00805441,0.036312,0.0404492,0,0.000554584,0.0212641,0,0.0103961,0.00995965,0
"Sugar2_5.13d",0.0436499,0.00709771,0.0680911,0.0184118,0.0341215,0.0260332,0.0442816,0.195019,0.0158307,0.055121,0.0202681,0.127978,0.14719,0.0569859,0.116154,0.0169055,0.020598,0.0386294,0.0317209,0.0114836,0.0372363,0.106311,0.0146962,0.15065,0.010988,0.0381911,0.144953,0.00595433,0.0942376,0.0044827,0.105782,0.038359,0.0252207,0.117164,0.0155637,0.173257,0.0210354,0.0563583,0.0434872,0.0278398,0.0944699,0.105557,0.0954205,0.00332792,0.116037,0.0143583,0.112944,0.0222742,0.0516319
"Sugar3_5.14d",0.30246,0.0500867,0.346378,0.0098084,0.201731,0.138397,0.103484,1.42973,0.0651098,0.348784,0.177069,0.648697,0.434417,0.231696,0.672555,0.0291131,0.133124,0.209947,0.0217754,0.0121672,0.0578992,0.634577,0.0077349,1.11238,0.0268441,0.0445975,0.945755,0.0427323,0.722418,0.0249935,0.603149,0.170743,0.103843,0.308345,0.0419171,0.978602,0.084354,0.397104,0.254548,0.00844294,0.205981,0.243671,0.653045,0.00867754,0.794316,0.0301946,0.457768,0.0518219,0.337947
"Sugar4_5.15d",0.0404013,0.015672,0.0602949,0,0.0368111,0.0254058,0.0261746,0.220716,0.0123735,0.0498864,0.0239475,0.139882,0.0979,0.0561041,0.100611,0.0154148,0.0135721,0.0302541,0.0306112,0,0.0336216,0.0782537,0,0.189945,0.0142181,0.0225576,0.157122,0.005829,0.109085,0.00691405,0.0717949,0.0340589,0.0196155,0,0.0120998,0.108257,0.0647371,0.0597519,0.0495187,0.0351234,0.0297531,0.042637,0.105975,0.00147621,0.125474,0.0135823,0.087159,0.00198596,0.0519099
"Sugar5_5.17d",0.0188877,0,0.0281656,0,0.0176428,0,0,0.0920826,0.00212488,0.0222721,0.0132196,0.120432,0.0635414,0.0158626,0.0572718,0.0115987,0.0130507,0.0224968,0.0444481,0,0,0.0669011,0,0.0827452,0.0154103,0.0371134,0.0591762,0.00224801,0.0503303,0,0.0595558,0.0333139,0.0138031,0,0.0110294,0.0981548,0.00675178,0.0269572,0.0231937,0.0480221,0.00980079,0.0235852,0.0415197,0,0.0645433,0.00922797,0.0552357,0.00153412,0.0203793
"Trigonelline",0.003404363,0.005026207,0.017655852,0.001287467,0.000744838,0.003697625,0.003693652,0.005584429,0.002920486,0.004713435,0.002901008,0.008464803,0.021057742,0.009283172,0.011204362,0.000879926,0.001030648,0.00121349,0.000644991,7.54524454389856e-06,0.002413755,0.005809923,0.001533515,0.006089946,0.000865797,0.000982586,0.006592955,0.000341408,0.004872472,9.47278222835145e-05,0.001976978,0.0010517,0.001700212,0.016513796,0.00251541,0.005747595,0.001811618,0.004841124,0.002543217,0.000252004,0.006729015,0.006526235,0.0080522,0.001484927,0.010702903,5.51921884136853e-06,0.014693545,0.00435499,0.002927509
"Tryptophan",0.051853476,0.009896537,0.056381444,0.032361057,0.012826004,0.005770087,0.014877118,0.010795212,0.066665787,0.025553165,0.011875545,0.056576616,0.024097635,0.025138015,0.040608268,0.020577676,0.007642584,0.008772334,0.00580651,0.003876726,0.036040321,0.019766173,0.011245004,0.020183286,9.51653864194548e-05,0.012323923,0.010527783,0.003908784,0.005248555,0.001424153,0.020299614,0.004886272,0.01177647,0.011238735,5.39391559424021e-05,0.012327887,0.100580438,0.017478956,0.01220741,0.00106744,0.013695686,0.041960824,0.015325269,9.50555284058378e-05,0.036791936,0.016661028,0.092476119,0.058370384,0.012328089
