"","IL21","IL50","IL74","IL2","IL102","IL63","IL9","IL43","IL41","IL181","IL170","IL46","IL77","IL184","IL157","IL12","IL160","IL22","IL29","IL171","IL80","IL183","IL188","IL112","IL92","IL143","IL162","IL146","IL84","IL26","IL119","IL64","IL31","IL60","IL99","IL110","IL128","IL164","IL51","IL39","IL30","IL180","IL134","IL61","IL58","IL13","IL108","IL109","IL47"
"Acetate",0.565874018,0.092046765,0.132844942,0.140832135,0.037290407,0.069723706,0.082346752,0.046454456,1.251225713,0.067578787,0.053298168,0.180902157,0.312649223,0.104744163,0.412264043,0.372343081,0.065243772,0.079832997,0.068270918,0.062141257,0.051540585,0.162394203,0.294920812,0.080392481,0.048368122,0.154477941,0.115122982,0.050087481,0.111117842,1.25542498,0.083423252,0.052503554,0.055368791,0.30919679,0.078907614,0.09765785,6.007165037,0.097857496,0.08409886,0.064945594,0.180659597,0.245741235,0.175533713,0.443937517,0.069824434,0.085337844,0.268298446,0.185280547,0.383332351
"Alanine",0.31785993,0.061393138,0.270083511,0.118558692,0.080012235,0.022358736,0.021693642,0.019575113,0.205793274,0.079441374,0.044784992,0.442209412,0.120245224,0.065395069,0.18791201,0.092319537,0.055039246,0.114063516,0.069259826,0.021110151,0.148942222,0.084636815,0.059984903,0.04308354,0.001664134,0.064339611,0.019049216,0.0048113,0.005398127,0.069767038,0.072302339,0.057444288,0.035785457,0.089623423,0.019549192,0.038500634,0.437158782,0.04389515,0.04750238,0.010039282,0.031563969,0.189230577,0.027867793,0.017671464,0.102614283,0.113202793,0.507448296,0.285260523,0.062508497
"alpha.Glucose_alpha.Maltose_5.24d",0.786604,0.136493,1.01613,0,0.759239,0.0422975,0.113412,0.0272313,0.030266,0.104661,0.140829,1.09471,0.650551,0.21985,0.104522,0.122848,0.0720712,0.218446,0.134007,0.0534204,0.326325,0.579615,0.00612468,0.273505,0.0103842,0.391622,0.145392,0.0222012,0.0114075,0.0145039,0.394736,0.111983,0.0647378,0.30783,0.037698,0.260225,0.0496006,0.0241988,0.192788,0.0925934,0.327704,0.412378,0.0381404,0.0135329,1.17351,0.226828,1.26501,0.142605,0.238767
"AnotherSugar_C1H_4.97d",0.261349,0.0571171,0.361969,0,0.212614,0.122249,0.0935267,1.21774,0.0682812,0.294794,0.158951,0.587245,0.457195,0.220276,0.571322,0.0321755,0.117428,0.197255,0.0322681,0.022164,0.0752448,0.579162,0.000987015,0.963413,0.0322732,0.0842989,0.814312,0.0427894,0.612945,0.0251145,0.548642,0.146602,0.0981928,0.435063,0.0430625,0.861007,0.0947531,0.33598,0.214611,0.0204183,0.0931059,0.105781,0.546931,0.0113819,0.700168,0.0245418,0.381468,0.0333419,0.290356
"Asparagine",0.068795272,0.017888297,0.050950503,0.030636251,0.02344195,0.007083426,0.016689451,0.006447441,0.096625355,0.049434958,0.011740729,0.147298147,0.055187208,0.03354026,0.036857066,0.00452751,0.015515384,0.043988288,0.025248803,0.011334205,0.039146686,0.027997907,0.004494275,0.018639959,0.002351824,0.053785124,0.028298428,0.008594762,0.002096506,5.90690589857467e-05,0.045564166,0.024833154,0.015014305,0.051910012,0.011576749,0.020993058,0.007151256,0.026029404,0.035698514,0.008131215,0.039795647,0.116140093,0.016787667,6.52903472618778e-05,0.040960496,0.044725955,0.16245821,0.087901463,0.006039275
"Aspartate",0.189632309,0.040657222,0.109613833,0.138554988,0.02740978,0.003467713,0.013022626,0.020132007,0.001902085,0.068108855,0.026419942,0.262913319,0.241430091,0.04847846,0.112859163,0.015816188,0.021760365,0.059347597,0.039969194,0.012623431,0.088083144,0.053354762,0.044207234,0.035117463,0.001320168,0.052977844,0.009638695,0.003136956,0.020571294,0.008539502,0.131076607,0.07208988,0.034965414,0.329688151,0.09942642,0.082547545,0.014627612,0.027680135,0.036221198,0.020874658,0.091707295,0.154920309,0.027689858,0.003519848,0.079803486,0.044248725,0.151957453,0.065459616,0.037974138
"beta.Glucose",1.214455209,0.204399252,1.438780631,0.018836426,0.650200816,0.034397965,0.137562083,0.02261803,0.084357436,0.164095201,0.22692228,1.701383792,0.628573989,0.251417925,0.165540514,0.239302053,0.119702328,0.352678452,0.205412258,0.081301213,0.572188947,0.759624406,0.035119953,0.405828431,0.008933912,0.539708478,0.239432258,0.035309646,0.012958835,0.105945654,0.570525165,0.170161876,0.091683427,0.213371765,0.051741264,0.389400429,7.96663614815635e-05,0.039984475,0.29467024,0.127737082,0.453760688,0.663268027,0.062497418,0.010426883,1.675963911,0.367415913,2.152918339,0.221191156,0.275983679
"beta.Glucose_3.25dd",1.21446,0.204399,1.43878,0.0188364,0.650201,0.034398,0.137562,0.022618,0.0843574,0.164095,0.226922,1.70138,0.628574,0.251418,0.165541,0.239302,0.119702,0.352678,0.205412,0.0813012,0.572189,0.759624,0.03512,0.405828,0.00893391,0.539708,0.239432,0.0353096,0.0129588,0.105946,0.570525,0.170162,0.0916834,0.213372,0.0517413,0.3894,0,0.0399845,0.29467,0.127737,0.453761,0.663268,0.0624974,0.0104269,1.67596,0.367416,2.15292,0.221191,0.275984
"beta.Glucose_4.65d",1.01752,0.160486,1.16542,0.0201847,0.54758,0.0740338,0.164813,0.052087,0.0554934,0.141243,0.192801,1.38926,0.614142,0.222899,0.157473,0.18204,0.0909747,0.287849,0.164791,0.069482,0.425465,0.634596,0.0312145,0.344384,0,0.450826,0.207929,0.0214202,0.0261768,0.0159113,0.474069,0.139542,0.0845394,0.307667,0.0337079,0.338227,0.069839,0.0651029,0.242943,0.113601,0.424912,0.588614,0.113438,0.000584885,1.41033,0.30419,1.73673,0.201761,0.233526
"beta.Maltose",0.152167221,0.064982258,0.397940508,0.047247594,0.51920953,0.079821696,0.072327515,0.141136186,0.065246995,0.049439193,0.03913059,0.310546306,0.427078365,0.122563797,0.148756102,0.050236915,0.032499865,0.065370238,0.040942411,0.016559635,0.098134351,0.364785384,0.036626937,0.150115092,0.008376618,0.150842981,0.293531496,0.024028609,0.078935779,0.151477504,0.163243644,0.021507021,0.046641277,0.192391268,0.012911277,0.146171626,0.516229898,0.062683112,0.082928593,0.031266944,0.185804507,0.174875128,0.076997353,0.023839718,0.610211512,0.03795946,0.316957519,0.12035019,0.182009279
"beta.Maltose_3.29dd",0.152167,0.0649823,0.397941,0.0472476,0.51921,0.0798217,0.0723275,0.141136,0.065247,0.0494392,0.0391306,0.310546,0.427078,0.122564,0.148756,0.0502369,0.0324999,0.0653702,0.0409424,0.0165596,0.0981344,0.364785,0.0366269,0.150115,0.00837662,0.150843,0.293531,0.0240286,0.0789358,0.151478,0.163244,0.021507,0.0466413,0.192391,0.0129113,0.146172,0.51623,0.0626831,0.0829286,0.0312669,0.185805,0.174875,0.0769974,0.0238397,0.610212,0.0379595,0.316958,0.12035,0.182009
"beta.Maltose_4.67d",0.0193131,0,0.091922,0,0.36873,0.0088368,0.0243511,0.00659805,0,0,0.00793509,0.0524628,0.0240501,0,0,0.00327791,0,0.00190418,0,0.00450031,0.00879935,0.137031,0,0.015262,0,0.083228,0.0661004,0.00632829,0,0.00169099,0.0555607,0.00116421,0.00510583,0,0,0.00952705,0,0,0.0312879,0.00593616,0.0457405,0.0156275,0.00369832,0.00668998,0.250465,0.00408921,0.00876458,0.00370185,0.0592878
